Date,Rank,Topic,Duration
2019-01-01,1,Army,4 hours
2019-01-01,2,Chisora,4 hours
2019-01-01,3,Frampton,4 hours
2019-01-01,4,David Hogg,4 hours
2019-01-01,5,Josh Johnson,4 hours
2019-01-02,1,#TheMaskedSinger,4 hours
2019-01-02,2,Gordon Hayward,3.5 hours
2019-01-02,3,#grownish,2.5 hours
2019-01-02,4,#BlackInkCHI,2.5 hours
2019-01-02,5,Daryl Dragon,2 hours
2019-01-03,1,#ThursdayThoughts,11 hours
2019-01-03,2,Nancy Pelosi,9 hours
2019-01-03,3,#116thCongress,7.5 hours
2019-01-03,4,R Kelly,6.5 hours
2019-01-03,5,Aaliyah,6 hours
2019-01-04,1,#ImpeachTheMF,10.5 hours
2019-01-04,2,#NationalTriviaDay,9.5 hours
2019-01-04,3,#FridayFeeling,9 hours
2019-01-04,4,#njwk13,8.5 hours
2019-01-04,5,Kevin Hart,7.5 hours
2019-01-05,1,#RuinABandNameWithOneLetter,13 hours
2019-01-05,2,Torrance,7 hours
2019-01-05,3,#SaturdayMorning,6.5 hours
2019-01-05,4,#SaturdayThoughts,6.5 hours
2019-01-05,5,Texans,6 hours
2019-01-06,1,#GoldenGlobes,7 hours
2019-01-06,2,#SundayMorning,7 hours
2019-01-06,3,Bears,6.5 hours
2019-01-06,4,#FlyEaglesFly,6.5 hours
2019-01-06,5,Ravens,6 hours
2019-01-07,1,#MondayMotivation,12 hours
2019-01-07,2,#NationalChampionship,10.5 hours
2019-01-07,3,#TheBachelor,9 hours
2019-01-07,4,#mondaythoughts,8.5 hours
2019-01-07,5,#MondayMorning,8 hours
2019-01-08,1,#BoycottTrumpPrimeTime,13 hours
2019-01-08,2,#TuesdayThoughts,12.5 hours
2019-01-08,3,#TuesdayMotivation,9.5 hours
2019-01-08,4,#TrumpAddress,7 hours
2019-01-08,5,Oval Office,6.5 hours
2019-01-09,1,#LawEnforcementAppreciationDay,11.5 hours
2019-01-09,2,#TheLiesWeAllTellOurselves,10 hours
2019-01-09,3,Jeff Bezos,8.5 hours
2019-01-09,4,#wednesdaythoughts,8.5 hours
2019-01-09,5,#WednesdayWisdom,8 hours
2019-01-10,1,#ThursdayThoughts,12.5 hours
2019-01-10,2,Steve King,9 hours
2019-01-10,3,#ThursdayMotivation,8 hours
2019-01-10,4,#WaysToStayForeverYoung,8 hours
2019-01-10,5,Michael Cohen,6.5 hours
2019-01-11,1,#FridayFeeling,12 hours
2019-01-11,2,#FridayThoughts,10 hours
2019-01-11,3,#NationalMilkDay,10 hours
2019-01-11,4,#FlashbackFriday,9.5 hours
2019-01-11,5,Logan Paul,8 hours
2019-01-12,1,#SaturdayMorning,7 hours
2019-01-12,2,Chiefs,6.5 hours
2019-01-12,3,Colts,6 hours
2019-01-12,4,#Its2019andWeStillCant,6 hours
2019-01-12,5,#AdultVersionBoardGames,5.5 hours
2019-01-13,1,Saints,6.5 hours
2019-01-13,2,#SundayMorning,6.5 hours
2019-01-13,3,Patriots,6 hours
2019-01-13,4,#PHIvsNO,6 hours
2019-01-13,5,Nick Foles,6 hours
2019-01-14,1,#MondayMotivation,12.5 hours
2019-01-14,2,Chris Pratt,11 hours
2019-01-14,3,#My1stConcertWas,9 hours
2019-01-14,4,#mondaythoughts,8 hours
2019-01-14,5,#LAUSDStrike,7.5 hours
2019-01-15,1,#NationalHatDay,10.5 hours
2019-01-15,2,#TuesdayThoughts,8.5 hours
2019-01-15,3,Carol Channing,8.5 hours
2019-01-15,4,Gillette,7.5 hours
2019-01-15,5,#SpiderManFarFromHome,7.5 hours
2019-01-16,1,#WednesdayWisdom,13.5 hours
2019-01-16,2,#ThingsThatAreBadForYourHealth,9.5 hours
2019-01-16,3,Big Draco,9.5 hours
2019-01-16,4,Soulja Boy,8.5 hours
2019-01-16,5,State of the Union,8 hours
2019-01-17,1,Mary Oliver,8.5 hours
2019-01-17,2,#ThursdayThoughts,7.5 hours
2019-01-17,3,John Wick,7.5 hours
2019-01-17,4,#ThursdayMotivation,7 hours
2019-01-17,5,Betty White,6.5 hours
2019-01-18,1,Buzzfeed,12.5 hours
2019-01-18,2,#MarchForLife,8.5 hours
2019-01-18,3,Ciara,8.5 hours
2019-01-18,4,#FridayThoughts,8.5 hours
2019-01-18,5,Baby Hitler,8 hours
2019-01-19,1,#ExposeChristianSchools,12.5 hours
2019-01-19,2,Happy Birthday Mac,10.5 hours
2019-01-19,3,MAGA,9 hours
2019-01-19,4,Native American,7.5 hours
2019-01-19,5,#WomensMarch2019,7 hours
2019-01-20,1,Chiefs,6.5 hours
2019-01-20,2,Broner,6.5 hours
2019-01-20,3,Floyd,6.5 hours
2019-01-20,4,Patriots,6 hours
2019-01-20,5,Super Bowl,6 hours
2019-01-21,1,#SuperBloodWolfMoon,4.5 hours
2019-01-21,2,#LunarEclipse,4 hours
2019-01-21,3,#SEVENTEEN_Home,3.5 hours
2019-01-21,4,#YOU_MADE_MY_DAWN,3 hours
2019-01-21,5,#bloodmoon,3 hours
2019-01-22,1,#TuesdayThoughts,12 hours
2019-01-22,2,Chris Brown,9 hours
2019-01-22,3,Black Panther,8 hours
2019-01-22,4,Best Picture,7.5 hours
2019-01-22,5,#OscarNoms,6 hours
2019-01-23,1,#WednesdayWisdom,12 hours
2019-01-23,2,#NationalPieDay,11 hours
2019-01-23,3,#ItsBeen20YearsSince,8.5 hours
2019-01-23,4,Bryan Singer,7 hours
2019-01-23,5,Venezuela,6.5 hours
2019-01-24,1,Weezer,14.5 hours
2019-01-24,2,Ted Bundy,13.5 hours
2019-01-24,3,#NationalComplimentDay,13 hours
2019-01-24,4,No Scrubs,12.5 hours
2019-01-24,5,Wilbur Ross,10 hours
2019-01-25,1,Roger Stone,10 hours
2019-01-25,2,#TrumpCaved,9.5 hours
2019-01-25,3,#MuellerFriday,8 hours
2019-01-25,4,#RogerStoneArrested,7.5 hours
2019-01-25,5,#FridayMotivation,7 hours
2019-01-26,1,#Bernie2020,15.5 hours
2019-01-26,2,Michel Legrand,11 hours
2019-01-26,3,#SaturdayMorning,8.5 hours
2019-01-26,4,#LoveYourselfinSeoulFilm,8 hours
2019-01-26,5,Naomi Osaka,7 hours
2019-01-27,1,#HolocaustMemorialDay,10 hours
2019-01-27,2,#ApologizeToAnExIn4Words,10 hours
2019-01-27,3,#RoyalRumble,8.5 hours
2019-01-27,4,#RentLive,7.5 hours
2019-01-27,5,#HolocaustRemembranceDay,7.5 hours
2019-01-28,1,Anthony Davis,9 hours
2019-01-28,2,#MakeMomHappyIn3Words,8.5 hours
2019-01-28,3,Rolling Loud,8 hours
2019-01-28,4,#MondayMotivation,7 hours
2019-01-28,5,Pelicans,7 hours
2019-01-29,1,#TuesdayThoughts,11.5 hours
2019-01-29,2,#PolarVortex2019,10.5 hours
2019-01-29,3,Jussie Smollett,9 hours
2019-01-29,4,#TuesdayMotivation,8 hours
2019-01-29,5,James Ingram,7.5 hours
2019-01-30,1,#BellLetsTalk,16 hours
