Date,Rank,Topic,Peak_Volume
2019-01-01,1,Army,518.784
2019-01-01,2,Chisora,25.264
2019-01-01,3,Frampton,21.093
2019-01-01,4,David Hogg,18.918
2019-01-01,5,-,-
2019-01-02,1,Coachella,304.595
2019-01-02,2,#TheMaskedSinger,129.748
2019-01-02,3,Mean Gene,121.026
2019-01-02,4,#WednesdayWisdom,96.466
2019-01-02,5,Cabinet,92.741
2019-01-03,1,Coachella,605.093
2019-01-03,2,Liverpool,446.520
2019-01-03,3,R Kelly,428.538
2019-01-03,4,#SurvivingRKelly,389.323
2019-01-03,5,Nancy Pelosi,352.311
2019-01-04,1,R Kelly,491.656
2019-01-04,2,#SurvivingRKelly,428.296
2019-01-04,3,#ImpeachTheMF,239.304
2019-01-04,4,Rashida Tlaib,235.006
2019-01-04,5,James Harden,158.722
2019-01-05,1,#GDA2019,424.124
2019-01-05,2,iKON,361.330
2019-01-05,3,Cowboys,260.155
2019-01-05,4,#CutieSexyJBDay,251.582
2019-01-05,5,Seahawks,185.362
2019-01-06,1,#GoldenGlobes,1.680.681
2019-01-06,2,#BTSatGDA,841.909
2019-01-06,3,Reyes,744.527
2019-01-06,4,#GDA2019,622.206
2019-01-06,5,Bears,375.371
2019-01-07,1,#GoldenGlobes,1.761.438
2019-01-07,2,Lady Gaga,513.963
2019-01-07,3,Clemson,436.182
2019-01-07,4,Bama,264.132
2019-01-07,5,Bohemian Rhapsody,256.253
2019-01-08,1,#JungkookDay,462.923
2019-01-08,2,Clemson,455.085
2019-01-08,3,#TrumpAddress,346.116
2019-01-08,4,Bama,270.539
2019-01-08,5,#BoycottTrumpPrimeTime,241.471
2019-01-09,1,#iHeartAwards,2.317.100
2019-01-09,2,#TrumpAddress,366.964
2019-01-09,3,Oval Office,239.674
2019-01-09,4,#DNA600M,202.942
2019-01-09,5,Chuck Schumer,141.361
2019-01-10,1,#TOMORROW_X_TOGETHER,1.037.569
2019-01-10,2,#YEONJUN,393.779
2019-01-10,3,#ThursdayThoughts,113.201
2019-01-10,4,Steve King,103.615
2019-01-10,5,Michael Cohen,101.431
2019-01-11,1,#FridayFeeling,144.734
2019-01-11,2,Logan Paul,122.749
2019-01-11,3,Lil Uzi,104.819
2019-01-11,4,#HappyBirthdayZayn,98.507
2019-01-11,5,#Brooklyn99,75.310
2019-01-12,1,#BTSinNagoya,571.949
2019-01-12,2,Cowboys,336.225
2019-01-12,3,Chiefs,264.860
2019-01-12,4,Colts,232.865
2019-01-12,5,Rams,200.097
2019-01-13,1,United,563.670
2019-01-13,2,Saints,429.552
2019-01-13,3,Patriots,415.277
2019-01-13,4,Eagles,414.650
2019-01-13,5,De Gea,380.484
2019-01-14,1,White House,344.060
2019-01-14,2,#MondayMotivation,188.222
2019-01-14,3,#Time_For_Us,159.054
2019-01-14,4,#10yearchallenge,149.862
2019-01-14,5,Remind,102.586
2019-01-15,1,Brexit,815.818
2019-01-15,2,Gillette,805.197
2019-01-15,3,#BTSatSMA,714.228
2019-01-15,4,#SpiderManFarFromHome,578.187
2019-01-15,5,Barr,511.763
2019-01-16,1,#SAVE_ME,585.529
2019-01-16,2,State of the Union,287.548
