Date,Hour,Rank,Topic,Volume
2019-01-01,00:09,1,Josh Johnson,0
2019-01-01,00:09,2,Adrian Peterson,0
2019-01-01,00:09,3,Army,518.784
2019-01-01,00:09,4,Chris Rock,0
2019-01-01,00:09,5,Reid Travis,0
2019-01-01,00:09,6,Chisora,25.264
2019-01-01,00:09,7,Michael Floyd,0
2019-01-01,00:09,8,#WhenIListenToMusic,0
2019-01-01,00:09,9,David Hogg,18.918
2019-01-01,00:09,10,Frampton,21.093
2019-01-01,00:39,1,Josh Johnson,0
2019-01-01,00:39,2,Adrian Peterson,0
2019-01-01,00:39,3,Army,518.784
2019-01-01,00:39,4,Chris Rock,0
2019-01-01,00:39,5,Reid Travis,0
2019-01-01,00:39,6,Chisora,25.264
2019-01-01,00:39,7,Michael Floyd,0
2019-01-01,00:39,8,#WhenIListenToMusic,0
2019-01-01,00:39,9,David Hogg,18.918
2019-01-01,00:39,10,Frampton,21.093
2019-01-01,01:09,1,Josh Johnson,0
2019-01-01,01:09,2,Adrian Peterson,0
2019-01-01,01:09,3,Army,518.784
2019-01-01,01:09,4,Chris Rock,0
2019-01-01,01:09,5,Reid Travis,0
2019-01-01,01:09,6,Chisora,25.264
2019-01-01,01:09,7,Michael Floyd,0
2019-01-01,01:09,8,#WhenIListenToMusic,0
2019-01-01,01:09,9,David Hogg,18.918
2019-01-01,01:09,10,Frampton,21.093
2019-01-01,01:39,1,Josh Johnson,0
2019-01-01,01:39,2,Adrian Peterson,0
2019-01-01,01:39,3,Army,518.784
2019-01-01,01:39,4,Chris Rock,0
2019-01-01,01:39,5,Reid Travis,0
2019-01-01,01:39,6,Chisora,25.264
2019-01-01,01:39,7,Michael Floyd,0
2019-01-01,01:39,8,#WhenIListenToMusic,0
2019-01-01,01:39,9,David Hogg,18.918
2019-01-01,01:39,10,Frampton,21.093
2019-01-01,02:09,1,Josh Johnson,0
2019-01-01,02:09,2,Adrian Peterson,0
2019-01-01,02:09,3,Army,518.784
2019-01-01,02:09,4,Chris Rock,0
2019-01-01,02:09,5,Reid Travis,0
2019-01-01,02:09,6,Chisora,25.264
2019-01-01,02:09,7,Michael Floyd,0
2019-01-01,02:09,8,#WhenIListenToMusic,0
2019-01-01,02:09,9,David Hogg,18.918
2019-01-01,02:09,10,Frampton,21.093
2019-01-01,02:39,1,Josh Johnson,0
2019-01-01,02:39,2,Adrian Peterson,0
2019-01-01,02:39,3,Army,518.784
2019-01-01,02:39,4,Chris Rock,0
2019-01-01,02:39,5,Reid Travis,0
2019-01-01,02:39,6,Chisora,25.264
2019-01-01,02:39,7,Michael Floyd,0
2019-01-01,02:39,8,#WhenIListenToMusic,0
2019-01-01,02:39,9,David Hogg,18.918
2019-01-01,02:39,10,Frampton,21.093
2019-01-01,03:09,1,Josh Johnson,0
2019-01-01,03:09,2,Adrian Peterson,0
2019-01-01,03:09,3,Army,518.784
2019-01-01,03:09,4,Chris Rock,0
2019-01-01,03:09,5,Reid Travis,0
2019-01-01,03:09,6,Chisora,25.264
2019-01-01,03:09,7,Michael Floyd,0
2019-01-01,03:09,8,#WhenIListenToMusic,0
2019-01-01,03:09,9,David Hogg,18.918
2019-01-01,03:09,10,Frampton,21.093
2019-01-01,03:39,1,Josh Johnson,0
2019-01-01,03:39,2,Adrian Peterson,0
2019-01-01,03:39,3,Army,518.784
2019-01-01,03:39,4,Chris Rock,0
2019-01-01,03:39,5,Reid Travis,0
2019-01-01,03:39,6,Chisora,25.264
2019-01-01,03:39,7,Michael Floyd,0
2019-01-01,03:39,8,#WhenIListenToMusic,0
2019-01-01,03:39,9,David Hogg,18.918
2019-01-01,03:39,10,Frampton,21.093
2019-01-01,04:09,1,Josh Johnson,0
2019-01-01,04:09,2,Adrian Peterson,0
2019-01-01,04:09,3,Army,518.784
2019-01-01,04:09,4,Chris Rock,0
2019-01-01,04:09,5,Reid Travis,0
2019-01-01,04:09,6,Chisora,25.264
2019-01-01,04:09,7,Michael Floyd,0
2019-01-01,04:09,8,#WhenIListenToMusic,0
2019-01-01,04:09,9,David Hogg,18.918
2019-01-01,04:09,10,Frampton,21.093
